dataset,method,seed,avg_fid@task0,avg_fid@task1,avg_fid@task2,avg_fid@task3,avg_fid@task4,avg_fid@task5,avg_fid@task6,avg_fid@task7,avg_fid@task8,avg_fid@task9
cifar10,diag,123,39.233280181884766,149.99132537841797,123.84020360310872,111.52950668334961,125.01595535278321,,,,,
cifar10,diag,234,35.717098236083984,146.22673416137695,124.62806193033855,116.19949054718018,137.76897201538085,,,,,
cifar10,diag,345,37.93767166137695,159.79039192199707,101.71574274698894,114.74027729034424,122.89297790527344,,,,,
cifar10,diag-gr-distill,123,39.233280181884766,55.50686264038086,60.88061396280924,70.74373054504395,72.18746490478516,,,,,
cifar10,diag-gr-distill,234,35.717098236083984,51.20283889770508,68.9228515625,84.81045722961426,78.18893280029297,,,,,
cifar10,diag-gr-distill,345,37.93767166137695,52.053672790527344,62.52182642618815,62.83912181854248,67.29000320434571,,,,,
cifar10,gr-distill,123,39.233280181884766,58.98727035522461,55.87222798665365,67.10523128509521,67.56596908569335,,,,,
cifar10,gr-distill,234,35.717098236083984,45.7741813659668,55.15290196736654,57.79665660858154,58.92027969360352,,,,,
cifar10,gr-distill,345,37.93767166137695,45.55716514587402,52.94699223836263,52.852487564086914,57.216997146606445,,,,,
cifar10,rank1_opt,123,39.233280181884766,134.51464653015137,120.63065083821614,107.92049884796143,125.17210540771484,,,,,
cifar10,rank1_opt,234,35.717098236083984,142.33855056762695,144.56494649251303,112.38883209228516,134.37249221801758,,,,,
cifar10,rank1_opt,345,37.93767166137695,110.72664833068848,102.98706563313802,103.8487901687622,100.36422729492188,,,,,
cifar10,rank1_opt-gr-distill,123,39.233280181884766,46.95077323913574,48.846396128336586,52.239933013916016,48.508487701416016,,,,,
cifar10,rank1_opt-gr-distill,234,35.717098236083984,47.88450622558594,53.247440338134766,52.9804744720459,50.40536270141602,,,,,
cifar10,rank1_opt-gr-distill,345,37.93767166137695,50.26118087768555,52.26875686645508,53.630547523498535,52.70353622436524,,,,,
cifar100,diag,123,95.85121154785156,126.32077026367188,128.40457916259766,125.86598587036133,123.02232055664062,138.84686533610025,111.76605115618024,135.00353240966797,130.08134969075522,146.0402801513672
cifar100,diag,234,85.70427703857422,105.20761489868164,129.17669932047525,118.74881935119629,122.7193832397461,126.88781992594402,129.5188042776925,125.41954708099365,134.0621821085612,130.25139083862305
cifar100,diag,345,96.4326400756836,125.78290939331055,113.19551340738933,126.75999069213867,144.48831176757812,128.5285186767578,129.83619798932756,140.63836669921875,122.38202243381076,122.04944686889648
cifar100,rank1_opt,123,95.85121154785156,129.78107070922852,117.10607401529948,121.28555297851562,109.77603759765626,110.15027618408203,105.65719059535435,105.91566181182861,106.50428093804254,106.95432052612304
cifar100,rank1_opt,234,85.70427703857422,97.38217544555664,112.1187744140625,101.17462921142578,99.03260498046875,100.05752690633138,98.76932198660714,101.80043411254883,103.21432834201389,95.7646598815918
cifar100,rank1_opt,345,96.4326400756836,96.53079605102539,118.56693776448567,120.61482620239258,119.77055206298829,114.7545394897461,125.30046081542969,109.60735130310059,106.75069851345486,113.36636657714844
fmnist,diag,123,12.277873992919922,63.12556266784668,82.45785522460938,66.71542072296143,98.33426094055176,,,,,
fmnist,diag,234,23.17668342590332,59.95951271057129,80.87773323059082,73.3382511138916,94.79669418334962,,,,,
fmnist,diag,345,14.679868698120117,93.73618984222412,77.9219430287679,81.74719047546387,106.61177635192871,,,,,
fmnist,diag-gr-distill,123,12.277873992919922,13.859888553619385,16.79544448852539,22.66587519645691,27.873020553588866,,,,,
fmnist,diag-gr-distill,234,23.17668342590332,19.81256103515625,20.598164876302082,24.24906587600708,23.729738616943358,,,,,
fmnist,diag-gr-distill,345,14.679868698120117,17.422008514404297,18.945159912109375,29.076743125915527,31.49038162231445,,,,,
fmnist,gr-distill,123,12.277873992919922,15.218680381774902,17.432973861694336,20.30040168762207,18.51009006500244,,,,,
fmnist,gr-distill,234,23.17668342590332,19.64186668395996,21.033000310262043,19.68223214149475,20.889319610595702,,,,,
fmnist,gr-distill,345,14.679868698120117,15.258689880371094,16.14656988779704,17.596481561660767,18.002388954162598,,,,,
fmnist,rank1_opt,123,12.277873992919922,78.67182397842407,109.6332015991211,85.81045985221863,94.94157485961914,,,,,
fmnist,rank1_opt,234,23.17668342590332,47.42299032211304,87.0718453725179,79.07124161720276,92.54579105377198,,,,,
fmnist,rank1_opt,345,14.679868698120117,79.69597434997559,100.69727579752605,97.65260982513428,103.22093391418457,,,,,
